repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,a0566250b210499b4c5677f5ac2eedbd71d51a1b,rickhanlonii,2026-01-24T01:16:06Z,web-flow,2026-01-24T01:16:06Z,"[repo] init claude config (#35617)  ## Overview  Adds a claude setup that works with the nested /compiler setup.  The constraints are: - when working in the root repo, don't use the compiler configs (easy) - when working in the compiler/ don't use the parent contigs (hard)  The first one is easy: th"
golang/go,cbb37e310e2edd7148c8501567e190746e6d98d2,dmitshur,2026-01-24T18:03:14Z,gopherbot,2026-02-06T22:53:30Z,"net/http: fix WaitGroup race in TestTransportNoReuseAfterEarlyResponse  The remaining race reported in go.dev/issue/66519 is that it's possible for copying.Wait to start running before all copying.Add calls complete. It happens infrequently as is, but padding both Wait and Add calls with a 100 ms sl"
golang/go,03a6a2074086e186071fbc362bbb6c630f9bc84b,ianlancetaylor,2026-01-24T00:20:43Z,gopherbot,2026-01-27T17:30:54Z,cmd/link: handle SRODATALRELRO in xcoffUpdateOuterSize  This is a followup to CL 723580. This fixes cgo builds on AIX.  For #76038  Change-Id: Idea959615891f3f6e33932fae7a9043778db3366 Reviewed-on: https://go-review.googlesource.com/c/go/+/738920 LUCI-TryBot-Result: Go LUCI <golang-scoped@luci-proje
apache/spark,ab3ec9e34441dc11372e764d6384b309af36abee,dongjoon-hyun,2026-01-24T13:58:08Z,dongjoon-hyun,2026-01-24T13:58:08Z,[SPARK-55134] Fix `BasicExecutorFeatureStep` to throw `IllegalArgumentException` for executor cpu misconfigs  ### What changes were proposed in this pull request?  This PR aims to fix `BasicExecutorFeatureStep` to throw `IllegalArgumentException` for executor cpu misconfigs in order the Spark jobs A
apache/spark,357c780d3942418ece6bf7ffda5d2d9dda80b7d2,zhengruifeng,2026-01-24T05:37:38Z,dongjoon-hyun,2026-01-24T05:37:38Z,"[SPARK-55149][PYTHON][INFRA] Upgrade python to 3.12 in SQL tests  ### What changes were proposed in this pull request? Upgrade python to 3.12 in SQL tests  ### Why are the changes needed? to be consistent with python tests  ### Does this PR introduce _any_ user-facing change? no, infra-only  ### How"
apache/spark,9c91dace9b20653c28f403943493fc4ecf09f4d9,micheal-o,2026-01-24T01:19:28Z,anishshri-db,2026-01-24T01:19:28Z,[SPARK-55111][SS] Unfinished repartitioning detection on query restart  ### What changes were proposed in this pull request?  Detect when repartitioning didn't finish i.e. uncommitted and then the query was restarted. This will fail the query and require the repartitioning to finish before restartin
langchain-ai/langchain,11df1bedc3e496a129ab8e72cc79791378a875e0,mdrxy,2026-01-24T04:07:48Z,web-flow,2026-01-24T04:07:48Z,"style(core): lint (#34862)  it looks scary but i promise it is not  improving documentation consistency across core. primarily update docstrings and comments for better formatting, readability, and accuracy, as well as add minor clarifications and formatting improvements to user-facing documentation"
langchain-ai/langchain,51f13f7bff7be0ede2b1484690a9677abe45b93c,mdrxy,2026-01-24T04:07:36Z,web-flow,2026-01-24T04:07:36Z,style(text-splitters): lint (#34865)
langchain-ai/langchain,17de2a368581d814cdf483451c0d35ba82891970,mdrxy,2026-01-24T04:00:44Z,web-flow,2026-01-24T04:00:44Z,"style(langchain): lint (#34863)  it looks scary but i promise it is not  improving documentation consistency across langchain. primarily update docstrings and comments for better formatting, readability, and accuracy, as well as add minor clarifications and formatting improvements to user-facing doc"
langchain-ai/langchain,72333ad64400ecaee26159e253e26f5cd92243da,mdrxy,2026-01-24T03:58:03Z,web-flow,2026-01-24T03:58:03Z,fix(langchain): blocking unit test (#34866)  =
langchain-ai/langchain,703d170a4a1f6aa90bb45170e5205c013c28d5a3,mdrxy,2026-01-24T03:40:59Z,web-flow,2026-01-24T03:40:59Z,style(model-profiles): lint (#34864)
