repo_full_name,sha,author_login,author_date,committer_login,committer_date,message
facebook/react,c6bb26bf833c5d91760daf28fa2750b81067ac30,hoxyq,2026-02-09T22:18:17Z,web-flow,2026-02-09T22:18:17Z,"[DevTools] Don't capture durations for disconnected subtrees when profiling (#35718)  After https://github.com/facebook/react/pull/34089, when updating (possibly, mounting) inside disconnected subtree, we don't record this as an operation. This only happens during reconnect. The issue is that `recor"
facebook/react,6a939d0b54a0e1aded58652a307cfc083b691d67,eps1lon,2026-02-09T22:14:46Z,web-flow,2026-02-09T22:14:46Z,[DevTools] Allow renaming Host Component props (#35735)
facebook/react,4c9d62d2b47be424ad9050725d8bdd8df12fe2a3,eps1lon,2026-02-09T21:52:24Z,web-flow,2026-02-09T21:52:24Z,"[DevTools] Fix crash when revealing stable, filtered `<Activity>` children (#35734)"
facebook/react,24f215ce8b0e17a230fbb7317919a6ae0c324f35,hoxyq,2026-02-09T20:39:33Z,web-flow,2026-02-09T20:39:33Z,"[DevTools] Fix false-positive re-render reports for filtered nodes (#35723)  Fixes https://github.com/facebook/react/issues/33423, https://github.com/facebook/react/issues/35245, https://github.com/facebook/react/issues/19732.  As demoed [here](https://github.com/facebook/react/issues/33423#issuecom"
facebook/react,eab523e2a99583703b13536670dfdd8a3b1e26e0,eps1lon,2026-02-09T19:36:56Z,web-flow,2026-02-09T19:36:56Z,[Fiber] Avoid duplicate debug info for array children (#35733)
facebook/react,272441a9ade6bf84de11ba73039eb4c80668fa6a,unstubbable,2026-02-09T18:19:32Z,web-flow,2026-02-09T18:19:32Z,"[Flight] Add `unstable_allowPartialStream` option to Flight Client (#35731)  When using a partial prerender stream, i.e. a prerender that is intentionally aborted before all I/O has resolved, consumers of `createFromReadableStream` would need to keep the stream unclosed to prevent React Flight from "
facebook/react,b07aa7d643ec9028e452612c3ff2c17a6cee6bb7,unstubbable,2026-02-09T15:17:53Z,web-flow,2026-02-09T15:17:53Z,"[Flight] Fix `encodeReply` for JSX with temporary references (#35730)  `encodeReply` throws ""React Element cannot be passed to Server Functions from the Client without a temporary reference set"" when a React element is the root value of a `serializeModel` call (either passed directly or resolved fro"
tensorflow/tensorflow,e1c9606d158bb0c8c11ce00cb295e72f6a4bb25d,KanishAnand,2026-02-09T23:19:09Z,tensorflower-gardener,2026-02-09T23:28:26Z,Update Mesh validation logic to disallow integer axis names  PiperOrigin-RevId: 867797246
tensorflow/tensorflow,14223b8d105b88cd1351b20649e5115b092be3d4,ZixuanJiang,2026-02-09T22:56:40Z,tensorflower-gardener,2026-02-09T23:14:45Z,Exclude Unreduced shardings from `IsTiled` and `IsTiledLeaf`.  PiperOrigin-RevId: 867787787
tensorflow/tensorflow,3f283d3ce14d6a48e05ca424eacaa35db6ee0ae5,tensorflower-gardener,2026-02-09T22:39:36Z,tensorflower-gardener,2026-02-09T23:02:05Z,[StableHLO DotGeneral TypeInference] Update TypeInference of DotGeneral to also infer bounds  PiperOrigin-RevId: 867780889
