repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35449,[RFC] useStore/createStore APIs,open,captbaritone,2026-01-05T21:26:46Z,2026-01-31T05:47:34Z,,2,"[""CLA Signed""]",True
facebook/react,35448,PullCreate npm-publish-github-packages.yml.,closed,Dustin4444,2026-01-05T16:35:23Z,2026-01-05T18:26:19Z,2026-01-05T18:26:05Z,1,[],True
facebook/react,35447,Bug: ViewTransition can't be isolated,open,istarkov,2026-01-05T15:49:12Z,2026-01-05T16:53:35Z,,0,"[""Status: Unconfirmed""]",False
facebook/react,35446,Bug: React 19 does not attach custom element event listeners during hydration,open,viliket,2026-01-05T13:09:27Z,2026-01-20T13:51:28Z,,4,"[""Status: Unconfirmed""]",False
golang/go,77083,internal/trace: recorder.Write returns 0 instead of n when buffer contains only header,closed,jjpinto,2026-01-05T23:03:49Z,2026-01-21T21:15:09Z,2026-01-21T21:14:32Z,5,"[""NeedsFix"", ""compiler/runtime"", ""BugReport""]",False
golang/go,77082,runtime/trace: fix documentation comment ,closed,jjpinto,2026-01-05T22:55:51Z,2026-01-08T18:55:42Z,2026-01-08T18:55:42Z,9,[],True
golang/go,77081,cmd/dist: fix goroot typo in panic message,closed,jjpinto,2026-01-05T22:05:41Z,2026-01-09T20:50:38Z,2026-01-09T20:50:38Z,20,[],True
golang/go,77080,x/vuln/scan: support GOVULNDB env var for specifying database URL,open,rolandshoemaker,2026-01-05T22:01:33Z,2026-01-16T21:23:46Z,,17,"[""NeedsInvestigation"", ""FeatureRequest"", ""vulncheck or vulndb""]",False
golang/go,77079,"net: Dialer errors should include source address/port, even when it is not given explicitly",closed,croepha,2026-01-05T20:28:18Z,2026-01-06T14:12:56Z,2026-01-06T14:12:56Z,1,"[""LibraryProposal""]",False
golang/go,77078,x/tools/gopls: SEGV in (*types.*Checker).Ident due to nil or invalid *ast.Ident in syntax tree,open,adonovan,2026-01-05T17:24:04Z,2026-01-23T01:29:14Z,,1,"[""NeedsInvestigation"", ""gopls"", ""Tools"", ""gopls/telemetry-wins"", ""Automation"", ""gopls/memory-corruption""]",False
golang/go,77077,proposal: unsafe: add MakeUninitialized function,closed,jerome-laforge,2026-01-05T15:18:24Z,2026-01-05T17:21:23Z,2026-01-05T17:21:16Z,2,"[""Proposal"", ""LibraryProposal""]",False
golang/go,77076,os/signal: Passing bad values to Notify makes Stop hang on Windows,open,matthallcb,2026-01-05T15:10:11Z,2026-02-11T21:43:39Z,,17,"[""Documentation"", ""OS-Windows"", ""NeedsInvestigation"", ""compiler/runtime"", ""BugReport""]",False
golang/go,77075,proposal: os/exec: add Cmd.Clone method,open,adonovan,2026-01-05T14:53:59Z,2026-01-28T22:22:41Z,,22,"[""Proposal"", ""LibraryProposal""]",False
golang/go,77074,"runtime, strings, bytes: missing publication barriers after mallocgc with needzero=false and bytealg.MakeNoZero",open,thepudds,2026-01-05T14:26:31Z,2026-01-14T21:34:00Z,,3,"[""NeedsInvestigation"", ""compiler/runtime"", ""BugReport""]",False
pallets/flask,5881,asgiref fails with gevent patching,closed,davidism,2026-01-05T18:52:04Z,2026-02-09T00:13:45Z,2026-01-25T18:36:51Z,16,"[""docs""]",False
pallets/flask,5879,Add GitHub Actions CI workflow,closed,vedika-zangoh,2026-01-05T09:51:59Z,2026-01-20T00:09:46Z,2026-01-05T10:44:17Z,1,[],True
pallets/flask,5878,Add hello.py for testing,closed,vedika-zangoh,2026-01-05T09:45:16Z,2026-01-20T00:09:47Z,2026-01-05T10:43:55Z,1,[],True
docker/compose,13495,Support for Ubuntu 26.04,closed,JeffreyWardman,2026-01-05T11:02:07Z,2026-01-06T09:39:58Z,2026-01-05T11:03:50Z,4,"[""kind/feature"", ""status/0-triage""]",False
docker/compose,13494,handle healthcheck.disable true in isServiceHealthy,closed,stavros-k,2026-01-05T09:40:20Z,2026-01-19T09:19:31Z,2026-01-19T09:18:35Z,0,[],True
docker/compose,13493,Removed build warning when no explicit build has been requested.,closed,ndeloof,2026-01-05T07:36:19Z,2026-01-05T12:17:21Z,2026-01-05T12:17:21Z,0,[],True
duckdb/duckdb,20398,Improve format script compatibility on Windows,closed,xuboying,2026-01-05T17:56:16Z,2026-01-07T10:41:55Z,2026-01-06T14:29:06Z,2,"[""Ready To Merge""]",True
duckdb/duckdb,20396,Give preference do variables set in config,closed,pdet,2026-01-05T15:22:44Z,2026-01-06T07:55:42Z,2026-01-06T07:55:41Z,1,[],True
