repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35654,[tests] Fix ReactDOMAttribute-test,closed,rickhanlonii,2026-01-28T20:39:21Z,2026-01-28T21:00:40Z,2026-01-28T21:00:40Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35653,Bump next from 15.5.9 to 16.1.5 in /compiler/apps/playground,open,dependabot[bot],2026-01-28T19:10:58Z,2026-01-28T19:11:05Z,,0,"[""CLA Signed"", ""dependencies"", ""javascript""]",True
facebook/react,35652,ReactPerformanceTrackProperties/addValueToProperties fails to handle cursors (fn + proxy),closed,unconed,2026-01-28T15:35:53Z,2026-01-29T17:32:20Z,2026-01-29T17:32:20Z,0,[],False
facebook/react,35651,Bug: Expected a suspended thenable,open,shubhamtak007,2026-01-28T14:58:58Z,2026-01-28T15:06:37Z,,0,"[""Status: Unconfirmed""]",False
facebook/react,35650,"[Flight] Restore original function name in dev, server callstacks served with `unsafe-eval`",closed,eps1lon,2026-01-28T14:43:49Z,2026-01-28T17:41:27Z,2026-01-28T17:41:08Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35649,[Perf Tracks] Use minus (`-`) instead of en dash for removed props,closed,eps1lon,2026-01-28T10:09:09Z,2026-01-28T11:15:02Z,2026-01-28T11:14:59Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35648,[Perf Tracks] Handle arrays with bigints in deep objects,closed,eps1lon,2026-01-28T09:55:57Z,2026-02-04T10:16:10Z,2026-01-28T10:54:51Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35647,Bug:,closed,gainzindia,2026-01-28T07:35:51Z,2026-01-28T09:35:14Z,2026-01-28T09:35:14Z,0,"[""Status: Unconfirmed""]",False
golang/go,77363,proposal: crypto/tls: allow QUIC to configure net.Conn used on ClientHelloInfo,open,marten-seemann,2026-01-28T23:48:37Z,2026-01-29T00:23:57Z,,1,"[""Proposal""]",False
golang/go,77362,proposal: testing/nettest: in-memory implementations of net package interfaces,open,neild,2026-01-28T22:24:32Z,2026-01-30T22:15:38Z,,9,"[""Proposal""]",False
golang/go,77361,runtime: selecting mark workers during start-the-world (CL 721002) causes RSS regression in gopher-lua on large machines,open,prattmic,2026-01-28T22:24:08Z,2026-02-10T19:29:39Z,,3,"[""Performance"", ""NeedsInvestigation"", ""compiler/runtime""]",False
golang/go,77360,x/build: bot linux-ppc64-power10--04 reported as broken,open,gopherbot,2026-01-28T20:56:44Z,2026-01-30T16:22:31Z,,1,"[""Builders"", ""NeedsInvestigation""]",False
golang/go,77359,crypto/tls: don't recheck peer certificate validity on resumption if InsecureSkipVerify is set,open,rolandshoemaker,2026-01-28T18:50:32Z,2026-02-09T06:09:58Z,,3,"[""NeedsFix""]",False
golang/go,77358,cmd/go: TestScript/mod_sum_issue56222 failures,open,gopherbot,2026-01-28T18:13:23Z,2026-01-28T18:13:24Z,,1,"[""NeedsInvestigation""]",False
golang/go,77357,crypto/tls: revert Config.Clone change and apply lightweight chain validation [1.26 backport],closed,gopherbot,2026-01-28T17:46:50Z,2026-01-28T22:01:42Z,2026-01-28T22:01:40Z,6,"[""Security"", ""CherryPickApproved""]",False
golang/go,77356,crypto/tls: revert Config.Clone change and apply lightweight chain validation [1.25 backport],closed,gopherbot,2026-01-28T17:46:49Z,2026-01-28T22:05:06Z,2026-01-28T22:05:04Z,6,"[""Security"", ""CherryPickApproved""]",False
golang/go,77355,crypto/tls: revert Config.Clone change and apply lightweight chain validation [1.24 backport],closed,gopherbot,2026-01-28T17:46:48Z,2026-01-28T22:05:08Z,2026-01-28T22:03:34Z,5,"[""Security"", ""CherryPickApproved""]",False
golang/go,77354,crypto/tls: revert Config.Clone change and apply lightweight chain validation,closed,rolandshoemaker,2026-01-28T17:44:14Z,2026-01-28T22:18:00Z,2026-01-28T22:18:00Z,4,"[""Security"", ""FixPending"", ""BugReport""]",False
golang/go,77353,runtime: Inconsistent floating-point calculation results between debug and release builds,closed,fkryvyts-ingrid,2026-01-28T17:05:24Z,2026-01-28T18:44:15Z,2026-01-28T18:44:15Z,1,"[""compiler/runtime""]",False
golang/go,77352,"x/tools/gopls: modernizer for Go 1.19 atomic types (atomic.Int32, ...)",open,aktau,2026-01-28T16:43:21Z,2026-01-29T08:51:49Z,,5,"[""FeatureRequest"", ""gopls"", ""Tools"", ""Refactoring""]",False
golang/go,77351,cmd/go: TestScript/build_plugin_reproducible failures [consistent failure],closed,gopherbot,2026-01-28T16:10:42Z,2026-01-28T21:05:26Z,2026-01-28T21:05:26Z,6,[],False
golang/go,77350,plugin: unrecognized failures [consistent failure],closed,gopherbot,2026-01-28T15:11:15Z,2026-01-29T16:15:25Z,2026-01-29T16:15:25Z,27,"[""OS-Darwin"", ""Soon"", ""compiler/runtime"", ""FixPending""]",False
golang/go,77349,proposal: cmd/go: add test option to cache linked test binary,open,bradfitz,2026-01-28T14:23:32Z,2026-02-06T20:36:17Z,,10,"[""Proposal"", ""GoCommand"", ""ToolProposal""]",False
golang/go,77348,quoted: applying TestComments in tests,open,manuelarte,2026-01-28T13:13:56Z,2026-01-28T14:12:51Z,,3,[],True
golang/go,77347,hash/fnv: add doc-links to package doc,open,thaJeztah,2026-01-28T12:06:52Z,2026-01-28T12:17:25Z,,1,[],True
golang/go,77346,cmd/go: `go tool` and `go get -tool` could be documented better,open,mvdan,2026-01-28T11:08:29Z,2026-01-29T21:23:30Z,,3,"[""Documentation"", ""NeedsInvestigation"", ""GoCommand"", ""ToolProposal""]",False
golang/go,77345,proposal: text/template: make the dot in range for iter.Seq2 match ranging over slices and maps,open,bep,2026-01-28T10:56:59Z,2026-02-02T19:13:55Z,,5,"[""Proposal"", ""LibraryProposal""]",False
golang/go,77344,x/tools/gopls: emit `property` semantic token for struct field access,closed,SnzFor16Min,2026-01-28T10:07:23Z,2026-01-28T19:03:29Z,2026-01-28T19:03:29Z,3,"[""FeatureRequest"", ""gopls"", ""Tools""]",False
apache/spark,54046,[SPARK-41398][SQL][FOLLOWUP] Update runtime filtering javadoc to reflect relaxed partition constraints,closed,yyanyy,2026-01-28T22:42:18Z,2026-01-29T02:54:33Z,2026-01-29T02:54:33Z,3,"[""SQL""]",True
apache/spark,54045,[SPARK-55265][INFRA] Increase timeout to 150 mins in GitHub Actions,closed,HyukjinKwon,2026-01-28T22:15:40Z,2026-01-29T00:21:46Z,2026-01-28T22:19:46Z,2,"[""INFRA""]",True
apache/spark,54044,[SPARK-46168][PS] Add axis argument for idxmax,open,devin-petersohn,2026-01-28T22:14:32Z,2026-02-10T01:24:07Z,,6,"[""PYTHON"", ""PANDAS API ON SPARK""]",True
apache/spark,54043,[SPARK-42025][SHUFFLE] Improve logs level in removeBlocks,open,varun-lakhyani,2026-01-28T20:13:12Z,2026-01-30T16:21:41Z,,3,"[""CORE""]",True
apache/spark,54042,[SPARK-55263][PYTHON][INFRA] Upgrade Python linter from 3.11 to 3.12 in CI,closed,Yicong-Huang,2026-01-28T19:32:35Z,2026-01-30T00:36:01Z,2026-01-30T00:36:01Z,3,"[""BUILD"", ""INFRA""]",True
apache/spark,54041,[SPARK-54179][SQL][FOLLOW-UP] Add Dataframe API support for Tuple sketches,closed,cboumalh,2026-01-28T18:16:18Z,2026-02-11T21:34:45Z,2026-02-11T21:34:18Z,5,"[""SQL"", ""DOCS"", ""PYTHON"", ""CONNECT""]",True
apache/spark,54040,[SPARK-55261][Geo][SQL] Implement Parquet read support for Geo types,open,uros-db,2026-01-28T18:08:22Z,2026-02-12T11:09:40Z,,2,"[""SQL""]",True
apache/spark,54039,[SPARK-55260][Geo][SQL] Implement Parquet write support for Geo types,closed,uros-db,2026-01-28T18:08:16Z,2026-02-02T12:10:48Z,2026-02-02T12:10:48Z,4,"[""SQL""]",True
apache/spark,54038,[SPARK-55262][Geo][SQL] Block Geo types in all file based data sources except Parquet,closed,uros-db,2026-01-28T18:07:19Z,2026-01-29T15:19:34Z,2026-01-29T15:19:34Z,2,"[""SQL"", ""AVRO""]",True
apache/spark,54037,[SPARK-55259][Geo][SQL] Implement Parquet schema conversion for Geo types,closed,uros-db,2026-01-28T18:06:57Z,2026-01-29T14:50:50Z,2026-01-29T14:50:50Z,3,"[""SQL""]",True
apache/spark,54036,[MINOR] Raise exception if no active Spark context,open,amarvin,2026-01-28T16:29:07Z,2026-02-03T17:23:16Z,,1,"[""SQL"", ""PYTHON""]",True
apache/spark,54035,[SPARK-55258][DOCS] Document CLI parameters in declarative pipelines programming guide,closed,sryza,2026-01-28T15:37:56Z,2026-02-03T16:26:30Z,2026-02-03T16:06:02Z,2,"[""DOCS""]",True
apache/spark,54034,[SPARK-55256][SQL] Support IGNORE NULLS / RESPECT NULLS for array_agg and collect_list,closed,yaooqinn,2026-01-28T12:20:18Z,2026-01-30T14:41:34Z,2026-01-30T14:34:58Z,7,"[""SQL""]",True
apache/spark,54033,[SPARK-54830][TESTS][FOLLOWUP] Disable shuffle checksum for the test case of SPARK-48037 to avoid memory issues,closed,ivoson,2026-01-28T10:26:39Z,2026-01-29T02:52:43Z,2026-01-29T02:38:02Z,3,"[""SQL"", ""BUILD""]",True
