repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35445,Fix grammar and clarity issues in CODE_OF_CONDUCT.md,open,monokkai,2026-01-04T18:49:10Z,2026-01-04T18:49:16Z,,0,"[""CLA Signed""]",True
facebook/react,35444,Fixes a minor grammatical issue in the README,open,monokkai,2026-01-04T18:30:13Z,2026-01-04T18:30:19Z,,0,"[""CLA Signed""]",True
facebook/react,35443,Fix inconsistent quote style in README example,open,monokkai,2026-01-04T18:23:03Z,2026-01-04T18:23:09Z,,0,"[""CLA Signed""]",True
facebook/react,35442,Fix quotes in README example for consistency,open,monokkai,2026-01-04T18:16:35Z,2026-01-04T19:11:43Z,,2,"[""CLA Signed""]",True
facebook/react,35441,react-reconciler: warn on removed flushSync API for custom renderers,open,Dhanushkumarreddy0204,2026-01-04T10:53:55Z,2026-01-05T07:19:09Z,,2,"[""CLA Signed""]",True
docker/compose,13492,[BUG] Panic (SIGSEGV) when enabling Watch Mode ('w') on a crash-looping service,closed,CODEAbhinav-art,2026-01-04T19:04:53Z,2026-01-08T13:19:35Z,2026-01-08T13:19:35Z,3,"[""kind/bug""]",False
duckdb/duckdb,20379,Add support for `lambda_invoke` and `LET` expressions,closed,Maxxen,2026-01-04T16:34:47Z,2026-01-14T21:02:44Z,2026-01-14T21:02:43Z,7,"[""Ready For Review""]",True
duckdb/duckdb,20378,Inconsistent behaviour of normal and prepared statement when use values with different types in CASE WHEN,closed,DerZc,2026-01-04T13:11:47Z,2026-01-05T10:46:19Z,2026-01-05T09:48:01Z,3,"[""reproduced""]",False
duckdb/duckdb,20377,Add interruption check to optimizer execution,closed,EtgarDev,2026-01-04T11:34:35Z,2026-01-05T12:46:34Z,2026-01-05T12:46:34Z,0,"[""Ready To Merge""]",True
duckdb/duckdb,20376,Inconsistent behavior when casting all-NULL TIMESTAMP column to DOUBLE,closed,chimission,2026-01-04T09:49:16Z,2026-01-04T10:44:36Z,2026-01-04T10:44:36Z,0,"[""needs triage""]",False
duckdb/duckdb,20375,Unexpected Floating point exception,closed,DerZc,2026-01-04T06:40:10Z,2026-01-05T09:02:11Z,2026-01-05T09:02:11Z,2,"[""under review""]",False
