repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35695,Bump semver from 5.7.1 to 5.7.2 in /scripts/devtools,open,dependabot[bot],2026-02-04T22:45:24Z,2026-02-04T22:49:09Z,,1,"[""CLA Signed"", ""dependencies"", ""javascript""]",True
facebook/react,35694,[DevTools] Shrink/Deshrink Owners breadcrumbs on any resizes,closed,eps1lon,2026-02-04T21:59:34Z,2026-02-05T11:18:02Z,2026-02-05T11:08:02Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35693,Fix autoFocus for all elements and ReDoS in devtools   stack parsing  ,open,d1maash,2026-02-04T21:46:09Z,2026-02-05T20:09:34Z,,0,"[""CLA Signed""]",True
facebook/react,35692, Fix autoFocus for anchor elements and ReDoS in devtools stack parsing,closed,d1maash,2026-02-04T21:35:01Z,2026-02-04T21:38:12Z,2026-02-04T21:38:12Z,1,[],True
facebook/react,35691,Fix exhaustive deps bug with flow type casting.,closed,jorge-cab,2026-02-04T16:04:32Z,2026-02-04T16:24:24Z,2026-02-04T16:24:24Z,1,[],True
facebook/react,35690,[Flight] Fix dev-only crash when passing elements into 3rd party renderers,closed,eps1lon,2026-02-04T15:04:01Z,2026-02-09T15:17:55Z,2026-02-09T15:17:55Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35689,[compiler][snap] More minimization improvements,closed,josephsavona,2026-02-04T04:21:19Z,2026-02-04T15:09:29Z,2026-02-04T15:09:29Z,0,"[""CLA Signed"", ""React Core Team""]",True
golang/go,77441,proposal: net/http: add Server.ServeHTTP,open,neild,2026-02-04T23:12:55Z,2026-02-09T19:13:48Z,,6,"[""Proposal"", ""LibraryProposal""]",False
golang/go,77440,proposal: net/http: pluggable HTTP/3,open,neild,2026-02-04T23:10:05Z,2026-02-05T01:07:37Z,,2,"[""Proposal"", ""LibraryProposal""]",False
golang/go,77439,"spec, cmd/compile: type inference for generic function assigned to single-type type set should work",open,griesemer,2026-02-04T23:04:51Z,2026-02-11T22:17:56Z,,2,"[""compiler/runtime"", ""LanguageProposal""]",False
golang/go,77438,cmd/go: CGO compilation fails after upgrading from Go 1.25.5 to 1.25.6 due to --define-variable flag in pkg-config [1.25 backport],open,gopherbot,2026-02-04T21:27:01Z,2026-02-11T17:19:57Z,,0,"[""GoCommand"", ""CherryPickApproved""]",False
golang/go,77437,cmd/go: CGO compilation fails after upgrading from Go 1.25.5 to 1.25.6 due to --define-variable flag in pkg-config [1.24 backport],closed,gopherbot,2026-02-04T21:27:00Z,2026-02-11T14:57:42Z,2026-02-11T14:57:39Z,1,"[""GoCommand""]",False
golang/go,77436,"cmd/link, cmd/cgo: internal linking may fail if CGO_CFLAGS includes -g3",closed,fstachura,2026-02-04T18:49:07Z,2026-02-06T17:37:51Z,2026-02-06T17:37:51Z,5,"[""NeedsInvestigation"", ""compiler/runtime"", ""BugReport""]",False
golang/go,77435,cmd/compile: ICE in map code after CL 736020,closed,randall77,2026-02-04T18:25:20Z,2026-02-05T01:48:37Z,2026-02-05T01:48:37Z,6,"[""NeedsInvestigation"", ""release-blocker"", ""compiler/runtime"", ""BugReport""]",False
golang/go,77434,cmd/go: develop safe-by-default API for calling VCS tools,open,rolandshoemaker,2026-02-04T17:35:11Z,2026-02-06T20:36:18Z,,2,"[""Security"", ""NeedsFix"", ""GoCommand"", ""ToolProposal""]",False
golang/go,77433,cmd/compile: inconsistent check insertion for division and bounds checks,open,d-enk,2026-02-04T13:26:48Z,2026-02-04T22:10:43Z,,4,"[""Performance"", ""help wanted"", ""NeedsDecision"", ""compiler/runtime""]",False
golang/go,77432,cmd/compile/internal/ssagen: typo in code,closed,spy20051623,2026-02-04T07:25:49Z,2026-02-06T17:40:55Z,2026-02-06T17:40:55Z,4,"[""help wanted"", ""NeedsFix"", ""BugReport""]",False
golang/go,77431,"proposal: encoding/asn1,crypto/x509: consider allowing lax parsing mode",open,rolandshoemaker,2026-02-04T02:07:37Z,2026-02-10T16:34:50Z,,4,"[""Proposal"", ""LibraryProposal""]",False
apache/spark,54148,[MINOR] Remove python version requirements for scipy-stubs,closed,gaogaotiantian,2026-02-04T23:13:01Z,2026-02-05T01:10:54Z,2026-02-04T23:36:06Z,1,"[""BUILD""]",True
apache/spark,54147,[SPARK-55364][PYTHON] Make SupportsIAdd and SupportsOrdering protocol more reasonable,closed,gaogaotiantian,2026-02-04T22:43:52Z,2026-02-05T06:39:51Z,2026-02-05T06:39:30Z,2,"[""PYTHON""]",True
apache/spark,54146,"[SPARK-55363][PS][TESTS] Make ops tests with ""decimal_nan"" columns ignore NaN vs. None",closed,ueshin,2026-02-04T22:29:31Z,2026-02-05T02:58:28Z,2026-02-05T02:58:08Z,5,"[""PYTHON"", ""PANDAS API ON SPARK""]",True
apache/spark,54145,[SPARK-55362][PYTHON][CONNECT] Don't wait for threadpool shutdown,closed,gaogaotiantian,2026-02-04T21:57:41Z,2026-02-05T01:11:05Z,2026-02-04T23:37:08Z,2,"[""SQL"", ""PYTHON"", ""CONNECT""]",True
apache/spark,54144,[SPARK-55350][PYTHON][CONNECT] Fix row count loss when creating DataFrame from pandas with 0 columns,closed,Yicong-Huang,2026-02-04T20:19:20Z,2026-02-05T01:51:03Z,2026-02-05T01:51:03Z,3,"[""SQL"", ""PYTHON"", ""CONNECT""]",True
apache/spark,54143,"[SPARK-55324][PYTHON]: support Array, Map, and Struct in convert_numpy",open,fangchenli,2026-02-04T19:12:35Z,2026-02-10T04:16:36Z,,1,"[""SQL"", ""PYTHON""]",True
apache/spark,54142,[SPARK-55360][BUILD] Upgrade sbt to `1.12.2`,closed,sarutak,2026-02-04T16:14:20Z,2026-02-05T06:20:18Z,2026-02-05T06:19:54Z,4,"[""BUILD""]",True
apache/spark,54141,[SPARK-55359][CORE] Promote `TaskResourceRequest` to `Stable`,closed,dongjoon-hyun,2026-02-04T15:19:07Z,2026-02-05T06:19:08Z,2026-02-05T06:18:51Z,3,"[""CORE""]",True
apache/spark,54140,[SPARK-XXXXX][SQL] Add CrossJoinArrayContainsToInnerJoin optimizer rule,open,yaooqinn,2026-02-04T14:12:12Z,2026-02-06T06:37:17Z,,2,"[""SQL""]",True
apache/spark,54139,[SPARK-55368][PYTHON][TESTS] Make sure `worker_util.py` can only be imported in python workers,closed,zhengruifeng,2026-02-04T12:04:31Z,2026-02-05T23:49:58Z,2026-02-05T22:35:48Z,2,"[""SQL"", ""STRUCTURED STREAMING"", ""CORE"", ""PYTHON""]",True
apache/spark,54138,"Revert ""[SPARK-55351][PYTHON][SQL] PythonArrowInput encapsulate resource allocation inside `newWriter`""",closed,zhengruifeng,2026-02-04T11:49:21Z,2026-02-04T11:50:15Z,2026-02-04T11:50:01Z,2,"[""SQL"", ""STRUCTURED STREAMING"", ""PYTHON""]",True
apache/spark,54137,[SPARK-55356][SQL] Support alias for PIVOT clause,closed,filipdavidovic,2026-02-04T09:48:04Z,2026-02-05T11:36:24Z,2026-02-05T11:36:24Z,2,"[""SQL"", ""DOCS""]",True
apache/spark,54136,[SPARK-54796][CORE] Fix NPE caused by race condition between Executor initialization and shuffle migration,open,ivoson,2026-02-04T09:22:28Z,2026-02-12T09:57:39Z,,6,"[""CORE""]",True
