repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35688,[compiler][snap] Fixes to relative path resolution; compile subcommand,closed,josephsavona,2026-02-03T23:06:16Z,2026-02-04T03:12:21Z,2026-02-04T03:12:21Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35687,Bump url-parse from 1.5.1 to 1.5.10 in /fixtures/concurrent/time-slicing,open,dependabot[bot],2026-02-03T22:11:49Z,2026-02-03T22:15:40Z,,1,"[""CLA Signed"", ""dependencies"", ""javascript""]",True
facebook/react,35686,[compiler] Fix `for` loops in try/catch,closed,josephsavona,2026-02-03T20:20:48Z,2026-02-03T23:04:35Z,2026-02-03T23:04:35Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35685,[DevTools] Disable Activity slices by default,closed,eps1lon,2026-02-03T17:23:07Z,2026-02-04T09:56:37Z,2026-02-04T09:56:34Z,3,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35684,[flags] Turn on `enableViewTransition` in OSS `react-test-renderer`,closed,eps1lon,2026-02-03T16:58:39Z,2026-02-04T10:43:04Z,2026-02-04T10:42:49Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35683,[flags] Turn on `enableAsyncDebugInfo` everywhere,closed,eps1lon,2026-02-03T15:56:30Z,2026-02-03T16:54:24Z,2026-02-03T16:52:57Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35682,Bug:,closed,nzdq29hjjf-sudo,2026-02-03T15:29:00Z,2026-02-03T16:01:06Z,2026-02-03T16:01:06Z,0,"[""Status: Unconfirmed""]",False
facebook/react,35681,[flags] Cleanup `enableActivity`,closed,eps1lon,2026-02-03T14:12:32Z,2026-02-03T15:08:35Z,2026-02-03T15:08:19Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35680,Fix logComponentRender breaking proxy objects like tRPC client,closed,luigisambuy,2026-02-03T10:51:32Z,2026-02-03T10:54:32Z,2026-02-03T10:54:23Z,1,[],True
facebook/react,35679,[Perf Tracks] Prevent crash when accessing `$$typeof`,closed,eps1lon,2026-02-03T09:46:05Z,2026-02-03T16:54:20Z,2026-02-03T16:53:45Z,1,"[""CLA Signed"", ""React Core Team""]",True
