repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35505,Bump qs from 6.4.0 to 6.4.1 in /fixtures/packaging/webpack-alias/dev,open,dependabot[bot],2026-01-13T20:55:46Z,2026-01-13T20:59:13Z,,1,"[""CLA Signed"", ""dependencies"", ""javascript""]",True
facebook/react,35504,[DevTools] Clear element inspection if host element not owned by any renderer is selected,closed,eps1lon,2026-01-13T18:25:40Z,2026-01-16T12:22:11Z,2026-01-16T12:20:44Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35503,[DevTools] Show fallback in inspected element pane when no element is selected,closed,eps1lon,2026-01-13T15:34:34Z,2026-01-15T13:28:07Z,2026-01-15T13:28:02Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35502,DevTools: Allow searching by component name in Profiler trace,open,kanikaa88,2026-01-13T14:09:08Z,2026-01-13T14:09:15Z,,0,"[""CLA Signed""]",True
facebook/react,35501,[test] Fix DevTools regression tests,closed,eps1lon,2026-01-13T11:38:33Z,2026-01-13T15:00:55Z,2026-01-13T15:00:17Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35500,"It cannot load normally and keeps showing ""Loading React Element Tree...""",open,GailJY,2026-01-13T09:22:22Z,2026-02-01T09:10:28Z,,2,[],False
facebook/react,35499,[Compiler Bug]: react-hooks/exhaustive-deps conflicts with idea of React compiler in terms of functions memoization,open,kaguya3222,2026-01-13T08:33:31Z,2026-01-21T12:20:44Z,,4,"[""Type: Bug"", ""Status: Unconfirmed""]",False
golang/go,77170,cmd/compile/internal/bitvec: remove 2GB allocation limit in NewBulk,open,podtserkovskiy,2026-01-13T23:29:05Z,2026-02-04T14:42:02Z,,17,"[""NeedsInvestigation"", ""Implementation""]",False
golang/go,77169,testing/synctest: add convenience function for Sleep then Wait,closed,rittneje,2026-01-13T23:23:09Z,2026-02-02T22:43:59Z,2026-02-02T22:43:59Z,10,"[""Proposal"", ""Proposal-Accepted"", ""LibraryProposal""]",False
golang/go,77168,cmd/compile: SEGV compiling crypto/internal/fips140/nistec test,open,gopherbot,2026-01-13T19:29:29Z,2026-01-21T21:23:24Z,,2,"[""WaitingForInfo"", ""NeedsInvestigation"", ""compiler/runtime""]",False
golang/go,77167,x/vuln: running govulncheck with no arguments is misleading,closed,dominikh,2026-01-13T19:00:06Z,2026-01-13T21:25:23Z,2026-01-13T21:25:23Z,5,"[""FeatureRequest"", ""vulncheck or vulndb""]",False
golang/go,77166,x/pkgsite: change darwin build context from amd64 to arm64?,closed,prattmic,2026-01-13T16:26:08Z,2026-01-13T17:36:28Z,2026-01-13T17:36:27Z,3,"[""NeedsInvestigation"", ""FeatureRequest"", ""pkgsite""]",False
golang/go,77165,x/tools/go/analysis/passes/unusedwrite: SEGV accessing go/ssa.Store.Attr field,open,adonovan,2026-01-13T16:23:16Z,2026-01-21T21:07:33Z,,1,"[""NeedsInvestigation"", ""gopls"", ""Tools"", ""gopls/telemetry-wins"", ""BugReport"", ""gopls/memory-corruption""]",False
golang/go,77164,"x/pkgsite: ""Expand"" README drops ?GOOS=... from URL",closed,prattmic,2026-01-13T16:11:18Z,2026-01-13T18:25:39Z,2026-01-13T18:25:39Z,3,"[""NeedsInvestigation"", ""pkgsite"", ""BugReport""]",False
golang/go,77163,time: Leap seconds parsing bug (incompatibility with RFC 3339),closed,valerijhegaj,2026-01-13T12:05:46Z,2026-01-13T13:26:12Z,2026-01-13T13:26:12Z,1,"[""LibraryProposal""]",False
golang/go,77162,x/sys/unix: missing macOS/darwin support for GetsockoptUcred,closed,dezzeus,2026-01-13T11:48:00Z,2026-01-13T16:15:30Z,2026-01-13T16:15:16Z,2,"[""compiler/runtime"", ""LibraryProposal""]",False
golang/go,77161,x/tools/go/analysis/passes/modernize: rangeint transformation is unsound when index value is used after loop,open,eikemeier,2026-01-13T11:47:00Z,2026-02-10T19:30:54Z,,5,"[""NeedsInvestigation"", ""Tools"", ""BugReport""]",False
golang/go,77160,x/pkgsite: sorting of types and method names,closed,egonelbre,2026-01-13T11:24:35Z,2026-02-06T17:34:01Z,2026-02-06T17:34:01Z,8,"[""help wanted"", ""NeedsFix"", ""FeatureRequest"", ""pkgsite""]",False
golang/go,77159,cmd/internal/obj: add assembly support for the Zcb extension on riscv64,open,newborn22,2026-01-13T08:34:36Z,2026-01-13T08:59:42Z,,3,[],True
golang/go,77158,path/filepath: filepath.Dir returns partial path,closed,wkwi2r,2026-01-13T08:30:17Z,2026-01-13T22:56:30Z,2026-01-13T08:34:21Z,3,"[""WorkingAsIntended""]",False
golang/go,77157,"x/tools/gopls: Extract Function: incorrect transformation of free ""goto"" continuation",closed,Jorropo,2026-01-13T08:27:57Z,2026-01-20T16:33:05Z,2026-01-20T16:33:05Z,3,"[""gopls"", ""Tools"", ""Refactoring"", ""BugReport""]",False
golang/go,77156,x/tools/gopls: extract function with `goto` leaves out `:`,closed,Jorropo,2026-01-13T08:19:15Z,2026-01-15T21:37:58Z,2026-01-15T21:37:58Z,2,"[""gopls"", ""Tools"", ""Refactoring""]",False
apache/spark,53793,[SPARK-55032][PYTHON] Refactor profilers in workers.py,closed,gaogaotiantian,2026-01-13T23:55:53Z,2026-01-21T07:18:54Z,2026-01-19T00:57:47Z,2,"[""SQL"", ""CORE"", ""PYTHON""]",True
apache/spark,53792,[SPARK-55029][SS] Propagate streaming source identifying name through resolution pipeline,closed,ericm-db,2026-01-13T22:25:23Z,2026-01-14T19:47:46Z,2026-01-14T19:47:46Z,3,"[""SQL"", ""STRUCTURED STREAMING""]",True
apache/spark,53791,[SPARK-55028][PYTHON] Pass result_id unconditionally to UDF workers,closed,gaogaotiantian,2026-01-13T22:02:41Z,2026-01-14T21:51:49Z,2026-01-14T01:31:53Z,2,"[""SQL"", ""CORE"", ""PYTHON""]",True
apache/spark,53790,[SPARK-54870][FOLLOW-UP][SQL] Add unapply methods to CharType and VarcharType for backward compatible pattern matching,closed,gengliangwang,2026-01-13T21:40:58Z,2026-01-14T04:55:31Z,2026-01-14T04:55:31Z,1,"[""SQL""]",True
apache/spark,53789,[SPARK-55027][PYTHON] Move writeConf to PythonWorkerUtils,closed,gaogaotiantian,2026-01-13T21:22:44Z,2026-01-21T07:19:02Z,2026-01-19T00:55:26Z,2,"[""CORE"", ""PYTHON""]",True
apache/spark,53788,[SPARK-55024][SQL] Use REQUIRES_SINGLE_PART_NAMESPACE error for session catalog namespace validation,closed,cloud-fan,2026-01-13T14:23:31Z,2026-02-10T01:31:38Z,2026-01-14T16:41:30Z,7,"[""SQL""]",True
apache/spark,53787,[SPARK-55023][CORE][SQL][TESTS] Remove unnecessary `BeforeAndAfterAll` and `BeforeAndAfterEach`,closed,zhengruifeng,2026-01-13T09:26:07Z,2026-01-14T10:57:07Z,2026-01-14T10:56:46Z,2,"[""SQL"", ""STRUCTURED STREAMING"", ""CORE"", ""PYTHON"", ""CONNECT""]",True
apache/spark,53786,[SPARK-55022][SQL][TESTS] Remove unnecessary mixins with `SharedSparkSession`,closed,zhengruifeng,2026-01-13T09:21:58Z,2026-01-13T23:35:57Z,2026-01-13T14:27:52Z,2,"[""SQL"", ""AVRO""]",True
apache/spark,53785,[SPARK-55020][PYTHON][TEST] Skip flaky test_distributed_lda test temporarily,closed,gaogaotiantian,2026-01-13T07:49:28Z,2026-01-13T09:16:53Z,2026-01-13T09:16:33Z,3,"[""ML"", ""PYTHON""]",True
apache/spark,53784,[SPARK-55021][CORE][TESTS] Introduce `SparkTestSuite` as the base class for all scalatest styles,closed,zhengruifeng,2026-01-13T07:07:28Z,2026-01-23T12:37:15Z,2026-01-23T00:50:06Z,6,"[""CORE""]",True
apache/spark,53783,[SPARK-55020][PYTHON] Disable gc when executing gRPC command,closed,gaogaotiantian,2026-01-13T05:09:14Z,2026-01-28T01:01:53Z,2026-01-28T01:01:30Z,10,"[""SQL"", ""ML"", ""CORE"", ""PYTHON"", ""CONNECT""]",True
langchain-ai/langchain,34744,chore(deps): bump azure-core from 1.36.0 to 1.38.0 in /libs/langchain_v1 in the uv group across 1 directory,closed,dependabot[bot],2026-01-13T22:34:59Z,2026-01-22T21:14:04Z,2026-01-14T05:59:59Z,1,"[""langchain"", ""infra"", ""dependencies"", ""python:uv"", ""external""]",True
langchain-ai/langchain,34743,chore(langchain): add agent name metadata,closed,sydney-runkle,2026-01-13T22:13:50Z,2026-01-22T21:14:06Z,2026-01-14T14:57:35Z,0,"[""langchain"", ""infra"", ""internal""]",True
langchain-ai/langchain,34742,feat(langchain): Only Keeping the last todo message,open,keenborder786,2026-01-13T21:41:49Z,2026-02-10T18:39:12Z,,2,"[""langchain"", ""feature"", ""external""]",True
