repo_full_name,issue_number,title,state,user_login,created_at,updated_at,closed_at,comments,labels,is_pull_request
facebook/react,35709,Disable parallel transitions in canary,closed,rickhanlonii,2026-02-05T18:26:35Z,2026-02-05T18:34:57Z,2026-02-05T18:34:23Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35708,[flags] Cleanup `enableHalt`,closed,eps1lon,2026-02-05T17:51:03Z,2026-02-06T09:34:19Z,2026-02-06T09:33:52Z,1,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35707,Fix grammar error in OVERVIEW.md,open,danielabrahamx,2026-02-05T17:29:40Z,2026-02-05T19:00:20Z,,2,"[""CLA Signed""]",True
facebook/react,35706,Bump semver from 5.4.1 to 5.7.2 in /fixtures/packaging/webpack/dev,open,dependabot[bot],2026-02-05T17:15:02Z,2026-02-05T17:18:45Z,,1,"[""CLA Signed"", ""dependencies"", ""javascript""]",True
facebook/react,35705,[DevTools] Separate breadcrumbs with `»`,closed,eps1lon,2026-02-05T17:08:40Z,2026-02-06T09:32:37Z,2026-02-05T23:40:31Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35704,Fix checkbox onChange not firing in certain click ordering cases,open,KashviYadav09,2026-02-05T17:07:20Z,2026-02-05T17:07:26Z,,1,[],True
facebook/react,35703,Fix onChange firing when click default is prevented,open,KashviYadav09,2026-02-05T16:56:50Z,2026-02-05T16:56:57Z,,1,[],True
facebook/react,35702,[DevTools] Throw an error when attempting to clone non-existent node,closed,hoxyq,2026-02-05T16:02:06Z,2026-02-05T17:49:21Z,2026-02-05T17:49:18Z,0,"[""CLA Signed""]",True
facebook/react,35701,Fix typos in comments,open,pavan-sh,2026-02-05T15:36:07Z,2026-02-05T16:08:21Z,,3,"[""CLA Signed""]",True
facebook/react,35700,[DevTools] Avoid scrollbars in Suspense breadcrumbs,closed,eps1lon,2026-02-05T14:00:22Z,2026-02-05T22:28:08Z,2026-02-05T22:27:58Z,0,"[""CLA Signed"", ""React Core Team""]",True
facebook/react,35699,[invalid][potential Security Alert] New `postinstall` script added in `pkgnewfefame1@3.2.1`,closed,alphaleadership,2026-02-05T13:21:13Z,2026-02-05T15:11:14Z,2026-02-05T13:43:33Z,0,"[""invalid""]",False
facebook/react,35698,Bug: Erro: Falha ao executar 'insertBefore' em 'Node': O nó antes do qual o novo nó deve ser inserido não é filho deste nó.,open,powercerebro,2026-02-05T11:44:41Z,2026-02-05T17:26:09Z,,1,"[""Status: Unconfirmed""]",False
facebook/react,35697,Dev,closed,jbSL1m,2026-02-05T02:39:02Z,2026-02-05T02:39:36Z,2026-02-05T02:39:36Z,1,[],True
tensorflow/tensorflow,109827,PR #37411: [tsl:concurrency] Fix JoinFutures<T>() when futures finish with errors,closed,copybara-service[bot],2026-02-05T23:52:49Z,2026-02-06T01:41:36Z,2026-02-06T01:41:35Z,0,[],True
tensorflow/tensorflow,109826,"When a called computation has multiple caller instructions, sort the callers by unique ID before selecting an operand for constant propagation. This ensures deterministic compilation results.",closed,copybara-service[bot],2026-02-05T23:35:26Z,2026-02-06T03:47:01Z,2026-02-06T03:47:01Z,0,[],True
tensorflow/tensorflow,109825,[gpu] Remove redundant ConvertToDeviceBuffers overload,closed,copybara-service[bot],2026-02-05T23:30:10Z,2026-02-06T00:56:02Z,2026-02-06T00:56:02Z,0,[],True
tensorflow/tensorflow,109824,Support for i2 embedding lookup via tflite model builder,closed,copybara-service[bot],2026-02-05T23:14:15Z,2026-02-11T19:49:09Z,2026-02-11T19:49:08Z,3,[],True
tensorflow/tensorflow,109823,Updating buildozer rule.,open,copybara-service[bot],2026-02-05T23:09:16Z,2026-02-05T23:32:11Z,,0,[],True
tensorflow/tensorflow,109822,"Replace py_library, py_binary, py_test macros with wrappers from XLA.",closed,copybara-service[bot],2026-02-05T22:33:41Z,2026-02-06T18:34:01Z,2026-02-06T18:34:01Z,0,[],True
tensorflow/tensorflow,109821,Make `tsl::Env::StartThread` respect NUMA affinity in `tsl::ThreadOptions`,closed,copybara-service[bot],2026-02-05T22:25:02Z,2026-02-06T00:07:43Z,2026-02-06T00:07:43Z,0,[],True
tensorflow/tensorflow,109820,Remove redundant HloRunner dependencies.,closed,copybara-service[bot],2026-02-05T22:19:17Z,2026-02-05T23:00:42Z,2026-02-05T23:00:42Z,0,[],True
tensorflow/tensorflow,109819,Add HloLegacyGpuTestBase wrapper around HloTestBase.,closed,copybara-service[bot],2026-02-05T22:14:52Z,2026-02-05T23:37:19Z,2026-02-05T23:37:18Z,0,[],True
tensorflow/tensorflow,109818,Remove explicit fill value in TensorDescriptor::DownloadData resize.,closed,copybara-service[bot],2026-02-05T22:11:20Z,2026-02-05T23:20:19Z,2026-02-05T23:20:19Z,0,[],True
tensorflow/tensorflow,109817,Improve flatbuffer_import performance with less buffer copies,closed,copybara-service[bot],2026-02-05T21:22:37Z,2026-02-09T22:46:11Z,2026-02-09T22:46:11Z,0,[],True
tensorflow/tensorflow,109816,Pin per-device threads owned by `LocalDeviceState` to the NUMA node associated with each device,closed,copybara-service[bot],2026-02-05T21:18:07Z,2026-02-05T21:50:36Z,2026-02-05T21:50:35Z,0,[],True
tensorflow/tensorflow,109815,Add initial bits to support offloading ReduceWindow.,closed,copybara-service[bot],2026-02-05T21:17:48Z,2026-02-06T23:57:07Z,2026-02-06T23:57:06Z,0,[],True
tensorflow/tensorflow,109814,PR #37064: [ROCm] Fix paralle gpu execute script to support running tests on a machine …,closed,copybara-service[bot],2026-02-05T21:11:56Z,2026-02-05T21:29:54Z,2026-02-05T21:29:54Z,0,[],True
tensorflow/tensorflow,109813,Add an overload to allow moving thread context instead of copying,open,copybara-service[bot],2026-02-05T20:40:23Z,2026-02-12T02:03:31Z,,0,[],True
tensorflow/tensorflow,109812,[StableHLO TypeInference] Add interface for shape component inference to dot ops ,closed,copybara-service[bot],2026-02-05T20:31:35Z,2026-02-06T05:47:51Z,2026-02-06T05:47:49Z,0,[],True
golang/go,77467,access: approvers,open,DanielMorsing,2026-02-05T20:45:10Z,2026-02-06T22:54:53Z,,3,"[""NeedsDecision"", ""Access""]",False
golang/go,77465,runtime: TestFinalizerOrCleanupDeadlock/Cleanup/PprofDebug1 failures,closed,gopherbot,2026-02-05T18:22:28Z,2026-02-11T22:19:01Z,2026-02-11T22:19:00Z,2,"[""NeedsInvestigation"", ""compiler/runtime""]",False
golang/go,77464,cmd/nm: unrecognized failures,closed,gopherbot,2026-02-05T18:22:27Z,2026-02-11T22:16:39Z,2026-02-11T22:16:27Z,2,"[""NeedsInvestigation"", ""compiler/runtime""]",False
golang/go,77463,net/http/httputil: DumpRequest and DumpResponse replacement body allows read after close,open,rittneje,2026-02-05T17:56:42Z,2026-02-07T00:22:56Z,,3,"[""NeedsInvestigation"", ""BugReport""]",False
golang/go,77462,internal/synctest: TestTimerReadAfterDeadline failures,closed,gopherbot,2026-02-05T17:23:17Z,2026-02-11T22:09:23Z,2026-02-11T22:09:23Z,3,"[""NeedsInvestigation"", ""compiler/runtime""]",False
