repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
facebook/react,35555,[test] add activity test with gSBU and enableViewTransition bugfix,closed,rickhanlonii,2026-01-18T21:40:39Z,2026-02-04T19:37:49Z,2026-02-04T19:37:45Z,2026-02-04T19:37:45Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35553,[compiler] Fix Symbol shadowing by prefixing with `globalThis`,open,hlysine,2026-01-18T16:00:58Z,2026-01-18T16:01:09Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35552,Add checkbox-inputs fixture for DOM testing,open,SherlockShemol,2026-01-18T09:53:30Z,2026-01-18T09:53:36Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35551,Fix type in SyncUpdateLanes declaration,closed,jiangmingwen,2026-01-18T09:07:47Z,2026-01-19T06:00:13Z,2026-01-19T06:00:13Z,,False,0,0,"[""CLA Signed""]"
apache/spark,53846,[SPARK-49110][SQL] Fix reading metadata columns for tables with CHAR columns,open,tomvanbussel,2026-01-18T20:47:26Z,2026-01-19T16:40:40Z,,,False,0,0,"[""SQL""]"
langchain-ai/langchain,34805,chore(text-splitters): overlap threshold introduced in `TextSplitter`,open,keenborder786,2026-01-18T21:43:58Z,2026-02-10T18:38:41Z,,,False,0,0,"[""infra"", ""text-splitters"", ""external""]"
langchain-ai/langchain,34803,fix(core): resolve tools losing optional runnable config,open,sbruckmaier21,2026-01-18T16:32:00Z,2026-01-22T21:12:51Z,,,False,0,0,"[""core"", ""fix"", ""external""]"
langchain-ai/langchain,34802,feat(core): add XML format option for `get_buffer_string`,closed,SeasonPilot,2026-01-18T15:25:12Z,2026-01-22T21:12:53Z,2026-01-22T18:33:08Z,2026-01-22T18:33:08Z,False,0,0,"[""core"", ""feature"", ""external""]"
langchain-ai/langchain,34801,fix: preserve thinking blocks during active turns in SummarizationMiddleware,closed,Shivangisharma4,2026-01-18T11:42:33Z,2026-01-23T12:47:01Z,2026-01-23T09:15:18Z,,False,0,0,"[""langchain"", ""fix"", ""external""]"
langchain-ai/langchain,34800,fix: reuse ToolStrategy in agent factory to prevent name mismatch,closed,Shivangisharma4,2026-01-18T10:27:21Z,2026-01-24T13:17:10Z,2026-01-23T12:12:10Z,,False,0,0,"[""langchain"", ""fix"", ""external""]"
langchain-ai/langchain,34799,fix(langchain): ensure ProviderStrategy schemas have titles to resolve ChatOpenAI crash,open,mohankumar27,2026-01-18T08:53:05Z,2026-01-22T21:12:58Z,,,False,0,0,"[""integration"", ""langchain"", ""fix"", ""openai"", ""external""]"
langchain-ai/langchain,34798,fix(ollama): sanitize tool_call args list to dict,open,ToobaFazal02,2026-01-18T08:26:28Z,2026-01-22T21:13:01Z,,,False,0,0,"[""integration"", ""fix"", ""ollama"", ""external""]"
pallets/flask,5890,Improve templating documentation for clarity and readability,closed,RellikSai,2026-01-18T18:15:10Z,2026-02-03T00:13:38Z,2026-01-18T18:42:08Z,,False,0,0,[]
duckdb/duckdb,20576,Fix CheckDirectory for remote fileystems,closed,utay,2026-01-18T22:59:14Z,2026-01-22T17:50:27Z,2026-01-22T17:50:18Z,,False,0,0,[]
duckdb/duckdb,20575,Integrate caching filesystem into json reader,closed,dentiny,2026-01-18T22:54:55Z,2026-02-02T12:44:38Z,2026-02-02T12:44:38Z,2026-02-02T12:44:38Z,False,0,0,"[""Merge Conflict""]"
duckdb/duckdb,20574,chore(shell): Fix comment inconsistencies and typos,closed,nuugen,2026-01-18T13:46:11Z,2026-01-22T08:35:10Z,2026-01-22T08:35:10Z,2026-01-22T08:35:10Z,False,0,0,[]
duckdb/duckdb,20572,Structured aggregate states with nested exported `AGGREGATED_STATE` types,closed,EtgarDev,2026-01-18T08:36:13Z,2026-02-09T08:53:30Z,2026-02-09T08:53:30Z,2026-02-09T08:53:30Z,False,0,0,[]
