repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
apache/spark,54084,[SPARK-55303][PYTHON][TESTS] Extract GoldenFileTestMixin for type coercion golden file tests,closed,Yicong-Huang,2026-02-01T23:42:59Z,2026-02-05T03:07:09Z,2026-02-05T03:06:51Z,,False,0,0,"[""SQL"", ""PYTHON""]"
apache/spark,54083,[SPARK-55131][SS] Change the default merge operator delimiter for RocksDB to empty string to concat without delimiter,closed,HeartSaVioR,2026-02-01T04:09:12Z,2026-02-06T12:54:17Z,2026-02-06T12:54:17Z,,False,0,0,"[""SQL"", ""STRUCTURED STREAMING""]"
langchain-ai/langchain,34966,chore(core): fix docstring format,closed,mdrxy,2026-02-01T22:44:50Z,2026-02-01T22:48:43Z,2026-02-01T22:48:02Z,2026-02-01T22:48:02Z,False,0,0,"[""core"", ""internal""]"
langchain-ai/langchain,34965,chore(infra): synchronize `AGENTS.md` & `CLAUDE.md`,closed,mdrxy,2026-02-01T22:43:08Z,2026-02-01T23:26:25Z,2026-02-01T23:26:23Z,2026-02-01T23:26:23Z,False,0,0,"[""infra"", ""github_actions"", ""internal""]"
langchain-ai/langchain,34964,feat(text-splitters): add WordTextSplitter,closed,hittanshubhanderi20,2026-02-01T21:43:20Z,2026-02-01T22:10:14Z,2026-02-01T22:10:14Z,,False,0,0,"[""text-splitters"", ""feature"", ""external""]"
langchain-ai/langchain,34960,chore(openai): update model profiles,closed,ccurme,2026-02-01T14:02:47Z,2026-02-01T14:41:13Z,2026-02-01T14:41:12Z,2026-02-01T14:41:12Z,False,0,0,"[""integration"", ""infra"", ""openai""]"
langchain-ai/langchain,34959,fix(anthropic): migrate cache_control from content block to tool_result level,closed,jackjin1997,2026-02-01T12:18:53Z,2026-02-11T15:54:18Z,2026-02-11T15:54:18Z,,False,0,0,"[""integration"", ""fix"", ""anthropic"", ""external""]"
langchain-ai/langchain,34958,fix(core): preserve tool_calls in InMemoryChatMessageHistory serialization,closed,jackjin1997,2026-02-01T12:18:40Z,2026-02-01T13:54:29Z,2026-02-01T13:54:29Z,,False,0,0,"[""core"", ""fix"", ""external""]"
langchain-ai/langchain,34957,feat(text-splitters): Add metadata_hydrator hook to enrich chunk metadata #34954,closed,Muhammad-Kamran-Khan,2026-02-01T10:45:08Z,2026-02-01T13:57:42Z,2026-02-01T13:57:42Z,,False,0,0,"[""text-splitters"", ""feature"", ""external""]"
langchain-ai/langchain,34952,fix(core): handle None content in ToolMessage to prevent NoneNone merge,closed,njg7194,2026-02-01T04:21:31Z,2026-02-01T13:58:44Z,2026-02-01T13:58:44Z,,False,0,0,"[""core"", ""fix"", ""external""]"
langchain-ai/langchain,34951,feat(langchain): prompt injection defense middleware,open,jkennedyvz,2026-02-01T01:45:37Z,2026-02-04T07:48:51Z,,,False,0,0,"[""langchain"", ""dependencies"", ""feature"", ""langchain-classic""]"
