repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
facebook/react,35445,Fix grammar and clarity issues in CODE_OF_CONDUCT.md,open,monokkai,2026-01-04T18:49:10Z,2026-01-04T18:49:16Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35444,Fixes a minor grammatical issue in the README,open,monokkai,2026-01-04T18:30:13Z,2026-01-04T18:30:19Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35443,Fix inconsistent quote style in README example,open,monokkai,2026-01-04T18:23:03Z,2026-01-04T18:23:09Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35442,Fix quotes in README example for consistency,open,monokkai,2026-01-04T18:16:35Z,2026-01-04T19:11:43Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35441,react-reconciler: warn on removed flushSync API for custom renderers,open,Dhanushkumarreddy0204,2026-01-04T10:53:55Z,2026-01-05T07:19:09Z,,,False,0,0,"[""CLA Signed""]"
golang/go,77061,archive/zip: set ZIP64 version in Local File Header for large entries,open,xuri,2026-01-04T06:47:12Z,2026-01-04T13:09:27Z,,,False,0,0,[]
langchain-ai/langchain,34595,feat: Add QWED neurosymbolic verification tool,closed,rahuldass19,2026-01-04T18:40:28Z,2026-01-22T21:17:43Z,2026-01-05T02:11:18Z,,False,0,0,"[""feature"", ""external""]"
langchain-ai/langchain,34594,feat(text-splitters): add JiebaTextSplitter for Chinese text splitting,closed,T1mn,2026-01-04T09:43:32Z,2026-01-22T21:17:44Z,2026-01-05T02:11:30Z,,False,0,0,"[""text-splitters"", ""dependencies"", ""feature"", ""langchain-classic"", ""external""]"
duckdb/duckdb,20379,Add support for `lambda_invoke` and `LET` expressions,closed,Maxxen,2026-01-04T16:34:47Z,2026-01-14T21:02:44Z,2026-01-14T21:02:43Z,,False,0,0,"[""Ready For Review""]"
duckdb/duckdb,20377,Add interruption check to optimizer execution,closed,EtgarDev,2026-01-04T11:34:35Z,2026-01-05T12:46:34Z,2026-01-05T12:46:34Z,2026-01-05T12:46:34Z,False,0,0,"[""Ready To Merge""]"
