repo_full_name,pr_number,title,state,user_login,created_at,updated_at,closed_at,merged_at,draft,comments,review_comments,labels
facebook/react,35592,Bump lodash from 4.17.21 to 4.17.23,open,dependabot[bot],2026-01-21T23:08:02Z,2026-01-21T23:14:26Z,,,False,0,0,"[""CLA Signed"", ""dependencies"", ""javascript""]"
facebook/react,35591,Bump lodash from 4.17.21 to 4.17.23 in /compiler/apps/playground,open,dependabot[bot],2026-01-21T23:06:10Z,2026-01-21T23:06:17Z,,,False,0,0,"[""CLA Signed"", ""dependencies"", ""javascript""]"
facebook/react,35590,[react-dom] Include `submitter` in `submit` events,closed,eps1lon,2026-01-21T20:09:16Z,2026-02-02T20:17:35Z,2026-02-02T20:17:31Z,2026-02-02T20:17:31Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35589,[eslint-plugin-react-hooks] Skip compilation for non-React files,closed,josephsavona,2026-01-21T19:37:26Z,2026-01-21T20:49:16Z,2026-01-21T20:49:16Z,2026-01-21T20:49:16Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35588,[WIP] use symbols for scheduler priority levels,open,elevenpassin,2026-01-21T18:52:32Z,2026-01-21T23:20:29Z,,,True,0,0,"[""CLA Signed""]"
facebook/react,35587,[DevTools] Apply component filters on initial load,closed,eps1lon,2026-01-21T15:15:56Z,2026-01-26T10:09:57Z,2026-01-26T10:06:04Z,2026-01-26T10:06:04Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35586,Type `react-devtools-hook-installer` and `react-devtools-hook-settings-injector` messages,closed,eps1lon,2026-01-21T15:11:02Z,2026-01-21T18:13:28Z,2026-01-21T18:13:24Z,2026-01-21T18:13:24Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
facebook/react,35585,Vibhu,closed,VibhuSuneja,2026-01-21T14:38:04Z,2026-01-21T14:38:20Z,2026-01-21T14:38:20Z,,False,0,0,[]
facebook/react,35584,vibhu updated README.md,closed,VibhuSuneja,2026-01-21T12:40:10Z,2026-01-21T12:48:14Z,2026-01-21T12:43:42Z,,False,0,0,[]
facebook/react,35579,[compiler] Add reactCompiler option to suppress memoization warnings,open,yunaotsk,2026-01-21T05:12:26Z,2026-01-29T06:56:03Z,,,False,0,0,"[""CLA Signed""]"
facebook/react,35578,[Fiber] getNearestMountedFiber should consider fibers with alternates as mounted,closed,sebmarkbage,2026-01-21T03:14:45Z,2026-01-21T13:33:36Z,2026-01-21T13:33:36Z,2026-01-21T13:33:36Z,False,0,0,"[""CLA Signed"", ""React Core Team""]"
golang/go,77254,"runtime: on Android, send errors to crash buffer",open,ignoramous,2026-01-21T19:50:38Z,2026-01-22T11:43:32Z,,,False,0,0,[]
golang/go,77247,cmd/compile: allow generic function values in composite literals,closed,next-n,2026-01-21T06:37:13Z,2026-01-22T05:46:44Z,2026-01-22T05:46:44Z,,False,0,0,[]
apache/spark,53900,[SPARK-55123][SS] Add SequentialUnionOffset for tracking sequential source processing,closed,ericm-db,2026-01-21T22:37:31Z,2026-02-01T17:15:58Z,2026-02-01T17:15:58Z,,False,0,0,"[""SQL"", ""STRUCTURED STREAMING""]"
